Id;Titulo;Canal;Midia;Veiculo;IdVeiculo;Programa;Avaliacao;Regiao;Estado;Cidade;NumeroCaracteres;Minutagem;Centimetragem;Valoracao;PageViews;DataCadastro;DataFonte;Abrangencia;Tier;Provedor;Url;IDV;
870078169;Coluna do Estadão - Roseann Kennedy;Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;GERAL; ;SUDESTE;SP;SÃO PAULO; ; ;1067;1747265,8500; ;13/03/2026 01:50:00;13/03/2026 03:00:00;Escopo IDM; ;3; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF020000004257BA27F7F10C82C888A9017959DEE5B80519E99D3C629DD9AE1C3103F54427FC9B06F3CAA24D64E622B9E31DE1700841A641ACAF800E891677548CCE495DEA1E2B688BE38F5D7B5986A89E4D665305;
870078170;Editorial - Toffoli, o suspeito;Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;GERAL; ;SUDESTE;SP;SÃO PAULO; ; ;757;1239625,3500; ;13/03/2026 01:50:00;13/03/2026 03:00:00;Escopo IDM; ;3; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF02000000505CD20CEDA6B70FADD4E365DDAB58A0A5CFE782853DD444C6F7C3798BBC3658128C7DEB3FC294C66A781B0215EBE66F911E584F625B53846053313376286DD25489230855E676FB11839399B6F9CE6F;
870078171;Falecimentos;Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;GERAL; ;SUDESTE;SP;SÃO PAULO; ; ;194;317684,7000; ;13/03/2026 01:50:00;13/03/2026 03:00:00;Escopo IDM; ;3; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF0200000065E748A5EA6C8D77F57BFA22CA0EF1CB8EA1C6426F1011287E51E9F84CC27D64928A6BE60240F10DD8E07F2EB0F6480A00CE9430AD76C4DE3D446BE1FB01DE1F0AD5F4670DF2D77A94808250A664D6E7;
870078172;Paladar;Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;GERAL; ;SUDESTE;SP;SÃO PAULO; ; ;96;157204,8000; ;13/03/2026 01:50:00;13/03/2026 03:00:00;Escopo IDM; ;3; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF02000000FF6B0515C34F9EB788D853DBB571C9FB02A1B34481E35ACF07260B921A3F141D9B62C3E8FF01D8E056466E3351851749FDFAF07DA91C4E1A02A995C6431FBC1DA8AD5B465A1CA52B1682377927C58877;
870078173;Coluna do Broadcast;Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;GERAL; ;SUDESTE;SP;SÃO PAULO; ; ;1170;1915933,5000; ;13/03/2026 01:50:00;13/03/2026 03:00:00;Escopo IDM; ;3; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF02000000CCF4019D401EA4307AAE6D833A74D1DFDEA367396165726A320F9B6CE2CB6ED4B4ED1F1C091A42065CD46724DA317F6B6458551B53AACB58096A05AF40E280918C6209204DC5365BD550431251ED31EA;
870078174;Capa - O ESTADO DE S.PAULO/SÃO PAULO - 13/03/2026;Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;GERAL; ;SUDESTE;SP;SÃO PAULO; ; ;1662;2721608,1000; ;13/03/2026 01:50:00;13/03/2026 03:00:00;Escopo IDM; ;3; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF0200000058793959CCD495A4D21C66B29640BBAE676EA8D221B226E0D812406E592873E534F95C04EBE1AE6F6BBCC1DB31F6F0B1C9F2F23411D21B54342AE1B7096B302EEA62B06F4E3A3EDADC799B32D41834EF;
870087067;Documentários do Oscar abordam questões sociais e políticas;Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;GERAL; ;SUDESTE;SP;SÃO PAULO; ; ;2595;4249442,2500; ;13/03/2026 03:20:00;13/03/2026 03:00:00;Escopo IDM; ;209; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF0200000086A53FEE0270B07DFE0E32236F464E8032A3C3A98C8FCC23CC2C387380AFAF48E7252C1E100CD5E8B18ED6CD21D85A3D0DCDE14A77CF5EF489375CA54E1BF4DE84FA74A49405F08F4910BF21DA200D07;
870087069;Neste ano 9 trânsito de SP teve piora em todos os dias úteis;Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;METRÓPOLE; ;SUDESTE;SP;SÃO PAULO; ; ;1753;2870625,1500; ;13/03/2026 03:20:00;13/03/2026 03:00:00;Escopo IDM; ;209; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF02000000FDCACE9144B83909F061102E7AB2C728596C4C4426BB7734D4C3F9F988B05A812DB33ED93D7F326520DA93906BB3EE8CDCC76336C0EAA52B3F624B8A92B8B7705E2C775FDDDBA1BEEE08AB49EB2A6BCE;
870087071;Capa - O ESTADO DE S.PAULO/SÃO PAULO - 13/03/2026;Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;ESPAÇO ABERTO; ;SUDESTE;SP;SÃO PAULO; ; ;1676;2744533,8000; ;13/03/2026 03:20:00;13/03/2026 03:00:00;Escopo IDM; ;209; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF0200000082F0EF8E673DED8E1E70699E53EE66AE5027C6D4A7953656CBB71537BFB57AE47147062C3CB1C9CFCE2C41E79E7594A85FBF615B7110F923229CCE9D70DBD12160DAAB11CA37F37A0606B39E7FAE55D2;
870087073;Governo zera IPI e Cofins para tentar segurar preço do diesel;Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;ESPAÇO ABERTO; ;SUDESTE;SP;SÃO PAULO; ; ;1132;1853706,6000; ;13/03/2026 03:20:00;13/03/2026 03:00:00;Escopo IDM; ;209; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF0200000090FCD1407E7382DEBE7A75BD4A7295916FA20E25BF7386D7951EB5BD4F442E034A4A892EF35C7D7BEA4AD440B204CC8A2E8030025F2B6FD8E03001F1747BBA64D271B121EC4826F942FE8DEDDC1634C8;
